"Reference","Qty","Value","DNP","Footprint","Description","#"
"AD5941","1","AD5941BCPZ-RL7","","Package_DFN_QFN:QFN-52-1EP_7x8mm_P0.5mm_EP5.41x6.45mm","","1"
"BOOT0,RST0","2","SPST-PTS830GG140","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","","2"
"C1,C2,C3,C4,C5,C6,C17","7","10u","","EIS-RV:C0402","","3"
"C7","1","1u","","EIS-RV:C0402","","4"
"C8,C9,C10,C12","4","470n","","EIS-RV:C0402","","5"
"C11","1","4.7u","","EIS-RV:C0402","","6"
"C13,C14,C15,C16,C18,C19","6","100n","","EIS-RV:C0402","","7"
"CHRG0","1","YLW","","EIS-RV:LED-0603","","8"
"CS0","1","TPTP20SQ","","EIS-RV:TP20SQ","","9"
"D1","1","BAT20JFILM","","EIS-RV:SOD-323","","10"
"ELECTRODES0","1","CONN_04","","Connector_PinSocket_1.00mm:PinSocket_1x03_P1.00mm_Vertical","","11"
"ESP32","1","ESP32-S3-WROOM-1-N8R8","","RF_Module:ESP32-S3-WROOM-1","","12"
"GPIOS/RST0,PERIPHERALS0","2","CONN_041.27MM","","EIS-RV:1X04_1.27MM","","13"
"H2,H4","2","MOUNT-HOLE2.8","","EIS-RV:2,8","","14"
"I2C0,SPI0,UART0","3","CONN_04","","EIS-RV:1X04","","15"
"IC1","1","MCP73831/OT","","Package_TO_SOT_SMD:TSOT-23-8_HandSoldering","","16"
"LDO0","1","AP2112K-3.3TRG1","","EIS-RV:SOT95P285X140-5N","","17"
"LIPO1","1","JST_2MM_MALE","","Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal","","18"
"PWR0","1","GREEN","","EIS-RV:LED-0603","","19"
"Q1","1","2.5A/30V/105mΩ","","EIS-RV:SOT23-3","","20"
"R1","1","10k","","EIS-RV:R0402","","21"
"R2,R3,R5","3","4k7","","EIS-RV:R0402","","22"
"R4","1","100k","","EIS-RV:R0603","","23"
"R6,R7,R8,R9,R10,R11,R12,R13","8","47k","","EIS-RV:R0402","","24"
"RC0,XTAL0","2","CONN_02.50MIL","","EIS-RV:1X02_1.27MM","","25"
"RCAL0","1","CONN_02","","EIS-RV:1X02","","26"
"SDCARD0","1","MICROSD","","Connector_Card:microSD_HC_Hirose_DM3D-SF","","27"
"TP1,TP2,TP3,TP4,UNK2V5,VB0,VCAP0,VZ0","8","TEST-POINT3X5","","EIS-RV:PAD.03X.05","","28"
"USB0","1","10118192-0001LF","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","","29"
