Designator,Mid X,Mid Y,Rotation,Layer
AD5941,154.75,-79.5625,0.0,top
BOOT0,119.5,-96.5,0.0,top
C1,111.0,-95.6284,180.0,top
C10,156.0,-85.85,270.0,top
C11,158.0,-85.85,270.0,top
C12,156.1,-73.55,90.0,top
C13,152.0,-85.85,270.0,top
C14,149.365,-73.2476,90.0,top
C15,154.5466,-73.5524,90.0,top
C16,154.0894,-85.85,270.0,top
C17,110.9672,-87.1416,90.0,bottom
C18,148.5,-75.3812,180.0,top
C19,109.5956,-87.1416,90.0,bottom
C2,129.0,-88.5,270.0,top
C3,140.5,-82.0,90.0,top
C4,135.5,-85.5,270.0,top
C5,110.4984,-89.7364,270.0,top
C6,107.7552,-89.7364,270.0,top
C7,109.1268,-89.7364,270.0,top
C8,148.5,-77.0576,180.0,top
C9,157.75,-73.6,90.0,top
CHRG0,143.5,-88.0,0.0,top
CS0,128.5,-78.0,0.0,top
D1,140.5,-86.0,270.0,top
DEBUG-PORT,162.5,-69.0,270.0,top
ELECTRODES0,171.79,-80.5,0.0,top
ESP32,110.14,-77.9,90.0,top
GPIOS/RST0,141.365,-77.5,0.0,top
I2C0,121.73,-91.5,0.0,top
IC1,135.0,-78.0,180.0,top
IC2,143.5,-84.5,180.0,top
LDO0,136.5,-82.0,180.0,top
LIPO1,134.0,-92.9675,180.0,top
PERIPHERALS0,159.905,-89.0,180.0,top
PWR0,128.5,-82.0,270.0,top
Q1,131.5,-86.55,180.0,top
R1,111.0,-97.0,0.0,top
R10,110.3576,-62.6052,0.0,bottom
R11,113.7104,-69.768,0.0,bottom
R12,112.796,-87.1416,90.0,bottom
R13,111.272,-69.4632,270.0,bottom
R2,143.5,-81.5,180.0,top
R3,146.5,-87.5,90.0,top
R4,138.5,-86.0,90.0,top
R5,132.5,-81.85,270.0,top
R6,121.3304,-87.1416,90.0,bottom
R7,119.8064,-87.1416,90.0,bottom
R8,114.0152,-87.1416,90.0,bottom
R9,109.5,-69.5,270.0,bottom
RC0,161.0,-76.365,270.0,top
RCAL0,155.5,-92.5,0.0,top
RST0,125.5,-96.5,0.0,top
SDCARD0,110.15,-78.02,270.0,bottom
SPI0,124.382,-65.5,0.0,top
TP2,111.0,-94.0,0.0,top
TP3,139.0,-89.0,90.0,bottom
TP4,137.0,-85.0,90.0,top
UART0,113.23,-65.5,180.0,top
UNK2V5,159.5,-73.5,0.0,bottom
USB0,144.5,-96.0,0.0,top
VB0,147.0,-73.0,0.0,bottom
VCAP0,156.0,-88.0,0.0,bottom
VZ0,146.0,-75.5,0.0,bottom
XTAL0,151.635,-73.5,180.0,top
